Latitude,Longitude_180
14.0917,-56.7701
13.5507,-58.1733
8.3355,33.222
4.1438,24.6871
4.1438,24.6867
-35.9494,166.0559
-2.7024,86.78
44.9608,25.6119
56.2247,106.1955
35.4097,-45.6398
35.3433,-45.6553
45.623,-28.811
8.6861,-29.0335
29.5025,150.4647
35.1041,17.4017
-0.9182,48.6595
-6.7521,42.7595
-5.8395,-83.05
43.9662,23.0836
41.1563,18.8206
42.3941,-39.6924
-31.4121,65.6408
-31.5449,65.7223
-31.2886,65.7523
23.8889,-47.6494
23.873,-47.6971
23.8726,-47.6947
23.8716,-47.6902
23.9331,-47.5924
23.9339,-47.5916
23.9344,-47.593
23.914,-47.6087
23.5984,-47.5804
23.4657,-47.5765
23.4536,-47.6033
23.4532,-47.6043
23.9091,-47.6008
23.8631,-47.685
33.6622,0.7149
33.5874,1.019
33.5169,0.9128
33.4981,0.9447
-45.6547,-88.574
9.9277,-19.2545
9.9308,-19.2704
9.9929,-19.2851
10.3288,-20.3794
9.0159,-20.2549
10.1053,-20.005
10.1048,-20.0048
10.0763,-19.9731
10.1462,-20.0627
10.1385,-20.0613
10.1083,-20.0544
9.9726,-19.2716
9.5539,-19.2749
10.1857,-20.1273
10.1799,-20.1189
10.2215,-20.0959
9.4838,-19.8384
10.2403,-20.3987
10.2401,-20.3988
10.2933,-20.4019
10.1326,-20.3948
10.1329,-20.3945
10.3522,-20.2649
10.1943,-20.153
10.2095,-20.1127
10.2067,-20.1022
10.181,-19.5186
10.0588,-20.1962
10.0954,-20.0769
10.2041,-20.0015
10.2349,-20.3101
10.3127,-20.2737
-10.2424,-165.2464
-10.1275,-165.2554
-10.0749,-165.2663
-10.2294,-165.2209
-10.6859,-165.1391
-10.6825,-165.1388
-10.6824,-165.1354
-10.6824,-165.1374
-10.0854,-165.1298
-10.5592,-165.177
-10.1715,-165.1625
-10.1717,-165.1698
-10.2353,-165.217
-10.2372,-165.2178
-26.3088,-136.7397
-26.3098,-136.7401
-26.2518,-136.9094
-26.2963,-136.9271
-26.4088,-137.212
-26.4148,-137.2127
-26.4151,-137.2136
-26.4189,-137.2093
-26.4126,-137.2013
-10.2737,15.7013
-10.275,15.7004
-10.275,15.6998
-10.2738,15.7035
-38.5001,58.3638
33.2933,114.2911
65.2233,84.2004
22.4208,-163.7132
22.4191,-163.7172
22.4214,-163.7093
22.4967,-163.7186
22.4967,-163.7186
22.1992,-162.8507
21.7636,-162.8803
22.3063,-162.9147
22.4434,-162.7447
8.2745,-37.9499
8.2724,-37.9752
8.1636,-37.9551
7.946,-37.8637
6.2408,119.7341
6.2402,119.7351
6.3808,119.9992
6.3802,119.9972
6.4082,119.8108
6.4081,119.8105
6.2066,119.7815
6.2061,119.7804
6.3371,119.8005
6.2776,119.7247
6.467,119.7378
6.4369,119.8329
6.4365,119.8335
6.4412,119.8331
6.2281,119.5237
6.2281,119.5214
6.2504,119.5464
6.4593,120.0017
6.4604,120.0023
6.2487,119.7506
6.2538,119.7626
6.2551,119.7615
6.2784,119.7635
6.4782,119.7847
6.4781,119.7853
6.3643,119.9304
6.6252,119.9847
6.6235,119.9894
6.5931,119.9861
6.5098,119.9269
6.5108,119.9289
6.513,119.9269
6.5142,119.9266
6.5149,119.9298
6.5153,119.9282
6.5165,119.9304
6.5183,119.9299
6.517,119.9875
6.4835,119.9941
6.3794,119.9019
6.3416,119.9914
6.34,119.9907
6.3389,119.9913
6.2691,119.9429
6.6385,119.82
6.5044,119.8719
6.3016,119.8593
6.4827,119.8145
6.3339,119.9937
6.5229,119.9879
6.3231,119.8067
6.4873,119.6998
6.3372,119.9975
6.3361,119.9972
6.4417,119.7252
6.214,119.7664
6.3814,120.0056
6.37,119.9252
6.6308,119.9842
6.4779,119.9976
6.6376,119.8299
6.3321,120.0066
38.086,-143.115
38.1157,-143.1035
38.098,-143.0615
37.8581,-143.1089
38.1018,-143.0677
38.1256,-143.099
-4.4579,-8.5333
-4.4949,-8.5008
-4.5322,-8.5107
-4.5328,-8.5105
-4.5312,-8.51
-4.3408,-8.5771
-4.4275,-8.5564
-4.3571,-8.6946
-2.0279,46.8995
-2.0166,46.9017
-2.014,46.9059
-2.044,46.8825
-2.0459,46.8839
9.2642,-32.0732
-30.9692,158.0535
-30.9463,158.0644
18.0805,-113.6813
18.6687,-113.5859
-26.3162,68.1911
14.4714,54.6591
72.4657,-31.4196
16.2972,46.8941
16.2959,46.8916
-60.7788,-11.8124
-60.7789,-11.8138
-60.7757,-11.747
-60.7751,-11.7924
-78.0579,25.3441
12.5745,173.4036
12.5762,173.4015
44.537,-107.9698
44.4982,-108.1656
-32.4259,54.6378
-32.4828,54.5722
-32.8592,54.0796
-32.7245,54.1735
-32.4519,54.6746
-32.3828,54.6579
-32.3554,54.7126
-32.3088,54.6614
-32.9401,54.7446
-32.9401,54.7446
-32.9383,54.7378
-32.3302,54.7743
-32.3174,54.746
-32.449,54.6446
-32.1634,54.7124
-32.1643,54.7118
-32.3568,54.9433
-32.1817,54.5943
-32.3695,53.6121
-32.1226,54.8746
-32.9337,53.7983
-32.9349,53.9595
-32.9642,54.0249
-32.7823,54.2992
-32.7393,54.2171
-32.1328,54.865
-30.6002,145.6809
-30.5999,145.6841
-30.5395,145.5548
-30.5713,145.6634
-30.6063,145.7057
-30.6106,145.7199
-42.5978,-12.1804
-42.9449,-12.2143
-42.6199,-11.3668
-42.6179,-11.3637
-42.6152,-11.3583
-42.612,-11.3517
-42.6218,-11.3628
-42.8894,-10.6704
-42.8468,-11.4653
-42.7882,-11.2259
-42.6506,-10.4585
-43.2169,-10.4213
-43.1399,-11.7311
-43.1467,-10.9282
-43.1445,-10.3668
-43.1456,-10.3675
-43.102,-12.2201
-43.0855,-11.7578
-43.0794,-11.7573
-43.2779,-12.1741
-43.0996,-10.5818
-42.8468,-11.4576
-42.8473,-11.4585
-42.8478,-11.4595
15.7946,177.2069
41.0722,149.9284
43.8876,-124.246
43.8862,-124.2387
